Estado,Fecha,Positivos,Defunciones
Aguascalientes,2020-05-12,14.0,0.0
Aguascalientes,2020-05-13,21.0,2.0
Aguascalientes,2020-05-14,21.0,1.0
Aguascalientes,2020-05-15,22.0,1.0
Aguascalientes,2020-05-16,15.0,1.0
Aguascalientes,2020-05-17,18.0,4.0
Aguascalientes,2020-05-18,22.0,0.0
Aguascalientes,2020-05-19,21.0,0.0
Aguascalientes,2020-05-20,37.0,0.0
Aguascalientes,2020-05-21,33.0,2.0
Aguascalientes,2020-05-22,31.0,1.0
Aguascalientes,2020-05-23,23.0,0.0
Aguascalientes,2020-05-24,30.0,4.0
Aguascalientes,2020-05-25,44.0,1.0
Aguascalientes,2020-05-26,46.0,1.0
Aguascalientes,2020-05-27,31.0,4.0
Aguascalientes,2020-05-28,43.0,3.0
Aguascalientes,2020-05-29,35.0,3.0
Aguascalientes,2020-05-30,38.0,2.0
Aguascalientes,2020-05-31,40.0,2.0
Aguascalientes,2020-06-01,77.0,2.0
Aguascalientes,2020-06-02,58.0,3.0
Aguascalientes,2020-06-03,37.0,4.0
Aguascalientes,2020-06-04,36.0,4.0
Aguascalientes,2020-06-05,63.0,2.0
Aguascalientes,2020-06-06,61.0,5.0
Aguascalientes,2020-06-07,47.0,4.0
Aguascalientes,2020-06-08,71.0,2.0
Aguascalientes,2020-06-09,49.0,4.0
Aguascalientes,2020-06-10,60.0,6.0
Aguascalientes,2020-06-11,38.0,3.0
Aguascalientes,2020-06-12,47.0,7.0
Aguascalientes,2020-06-13,47.0,2.0
Aguascalientes,2020-06-14,60.0,3.0
Aguascalientes,2020-06-15,81.0,3.0
Aguascalientes,2020-06-16,61.0,5.0
Aguascalientes,2020-06-17,51.0,4.0
Aguascalientes,2020-06-18,58.0,6.0
Aguascalientes,2020-06-19,44.0,5.0
Aguascalientes,2020-06-20,51.0,4.0
Aguascalientes,2020-06-21,48.0,5.0
Aguascalientes,2020-06-22,67.0,1.0
Aguascalientes,2020-06-23,42.0,2.0
Aguascalientes,2020-06-24,47.0,6.0
Aguascalientes,2020-06-25,45.0,3.0
Aguascalientes,2020-06-26,39.0,10.0
Aguascalientes,2020-06-27,49.0,4.0
Aguascalientes,2020-06-28,43.0,1.0
Aguascalientes,2020-06-29,55.0,4.0
Aguascalientes,2020-06-30,58.0,2.0
Aguascalientes,2020-07-01,79.0,2.0
Aguascalientes,2020-07-02,55.0,3.0
Aguascalientes,2020-07-03,41.0,4.0
Aguascalientes,2020-07-04,42.0,8.0
Aguascalientes,2020-07-05,70.0,4.0
Aguascalientes,2020-07-06,75.0,2.0
Aguascalientes,2020-07-07,67.0,6.0
Aguascalientes,2020-07-08,56.0,6.0
Aguascalientes,2020-07-09,51.0,3.0
Aguascalientes,2020-07-10,65.0,1.0
Aguascalientes,2020-07-11,57.0,4.0
Aguascalientes,2020-07-12,61.0,4.0
Aguascalientes,2020-07-13,74.0,3.0
Aguascalientes,2020-07-14,73.0,5.0
Aguascalientes,2020-07-15,68.0,3.0
Aguascalientes,2020-07-16,37.0,3.0
Aguascalientes,2020-07-17,62.0,2.0
Aguascalientes,2020-07-18,51.0,3.0
Aguascalientes,2020-07-19,53.0,2.0
Aguascalientes,2020-07-20,65.0,4.0
Aguascalientes,2020-07-21,53.0,2.0
Aguascalientes,2020-07-22,53.0,2.0
Aguascalientes,2020-07-23,58.0,8.0
Aguascalientes,2020-07-24,48.0,9.0
Aguascalientes,2020-07-25,50.0,5.0
Aguascalientes,2020-07-26,44.0,4.0
Aguascalientes,2020-07-27,62.0,3.0
Aguascalientes,2020-07-28,48.0,3.0
Aguascalientes,2020-07-29,51.0,3.0
Aguascalientes,2020-07-30,45.0,3.0
Aguascalientes,2020-07-31,35.0,4.0
Aguascalientes,2020-08-01,62.0,3.0
Aguascalientes,2020-08-02,37.0,2.0
Aguascalientes,2020-08-03,60.0,2.0
